,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
0,10X GENOMICS INC,CL A COM,88025U109,1216850,21745,SH,SOLE,21745,0,0
1,1ST SOURCE CORP,COM,336901103,512519,9327,SH,SOLE,9327,0,0
2,1STDIBS COM INC,COM,320551104,377297,80619,SH,SOLE,80619,0,0
3,3M CO,COM,88579Y101,36294,332,SH,OTR,0,332,0
4,3M CO,COM,88579Y101,289766762,2650629,SH,SOLE,2650629,0,0
5,ABBOTT LABS,COM,002824100,836532,7600,SH,SOLE,7600,0,0
6,ABBOTT LABS,COM,002824100,1362226,12376,SH,SOLE,12376,0,0
7,ABBOTT LABS,COM,002824100,4986171,45300,SH,SOLE,45300,0,0
8,ABBVIE INC,COM,00287Y109,1900087,12261,SH,OTR,0,12261,0
9,ABBVIE INC,COM,00287Y109,4215184,27200,SH,SOLE,27200,0,0
10,ABBVIE INC,COM,00287Y109,9569552,61751,SH,SOLE,61751,0,0
11,ABBVIE INC,COM,00287Y109,20378555,131500,SH,SOLE,131500,0,0
12,ABCELLERA BIOLOGICS INC,COM,00288U106,84811,14853,SH,SOLE,14853,0,0
13,ABERCROMBIE & FITCH CO,CL A,002896207,267483,3032,SH,OTR,0,3032,0
14,ABERCROMBIE & FITCH CO,CL A,002896207,16640056,188620,SH,SOLE,188620,0,0
15,ABM INDS INC,COM,000957100,3885102,86663,SH,SOLE,86663,0,0
16,ABSCI CORPORATION,COM,00091E109,183943,43796,SH,SOLE,43796,0,0
17,ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,49896,756,SH,OTR,0,756,0
18,ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,391710,5935,SH,SOLE,5935,0,0
19,ACADIA PHARMACEUTICALS INC,COM,004225108,855452,27322,SH,OTR,0,27322,0
20,ACADIA PHARMACEUTICALS INC,COM,004225108,3131000,100000,SH,SOLE,100000,0,0
21,ACADIA PHARMACEUTICALS INC,COM,004225108,8564944,273553,SH,SOLE,273553,0,0
22,ACADIA RLTY TR,COM SH BEN INT,004239109,312735,18407,SH,OTR,0,18407,0
23,ACADIA RLTY TR,COM SH BEN INT,004239109,12894764,758962,SH,SOLE,758962,0,0
24,ACCEL ENTERTAINMENT INC,COM CL A1,00436Q106,1234998,120253,SH,SOLE,120253,0,0
25,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,1473822,4200,SH,SOLE,4200,0,0
26,ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,3298554,9400,SH,SOLE,9400,0,0
27,ACCOLADE INC,COM,00437E102,11168772,929956,SH,SOLE,929956,0,0
28,ACUMEN PHARMACEUTICALS INC,COM,00509G209,79020,20578,SH,SOLE,20578,0,0
29,ADAPTHEALTH CORP,COMMON STOCK,00653Q102,405557,55632,SH,SOLE,55632,0,0
30,ADECOAGRO S A,COM,L00849106,15240,1373,SH,OTR,0,1373,0
31,ADECOAGRO S A,COM,L00849106,3769627,339606,SH,SOLE,339606,0,0
32,ADIENT PLC,ORD SHS,G0084W101,9059603,249164,SH,SOLE,249164,0,0
33,ADMA BIOLOGICS INC,COM,000899104,145594,32211,SH,SOLE,32211,0,0
